Pharmacy_id;BranchName;Address;Active;Working days;OpenTime;Work period, hours;latitude;longitude
33;"East";"999 Watertown St, West Newton, MA 02465, USA";"Yes";7;9;13;42.34982786210486;-71.226066774128739
34;"East";"700 Atlantic Ave, Boston, MA 02111, USA";"Yes";7;9;13;42.35015155241917;-71.055840929950435
35;"East";"400 Washington St, Brookline, MA 02446, USA";"Yes";7;9;13;42.334790722183989;-71.12386280481482
36;"East";"85 High St, Medford, MA 02155, USA";"Yes";7;10;12;42.4191945373869;-71.11226587412564
37;"East";"451 Washington St, Dorchester, MA 02124, USA";"Yes";7;10;12;42.295807181676004;-71.07251458947384
38;"East";"1630 Tremont St, Roxbury Crossing, MA 02120, USA";"Yes";7;9;12;42.333506276196246;-71.104585201115427
47;"East";"1100 Dorchester Ave, Dorchester, MA 02125, USA";"Yes";7;9;13;42.313304943026246;-71.056586589473085
48;"East";"23-25 MASSACHUSETTS AVE ALWIFE PLZ, Arlington, MA 02474, USA";"Yes";7;9;13;42.402171866132711;-71.136835470426917
